iter	Passed	Remaining
0	148	118964
1	161	64249
2	173	46093
3	185	36917
4	197	31362
5	207	27488
6	218	24798
7	230	22790
8	242	21298
9	252	19939
10	263	18931
11	275	18090
12	287	17394
13	298	16777
14	310	16249
15	322	15778
16	332	15310
17	344	14950
18	356	14643
19	367	14344
20	378	14022
21	387	13716
22	397	13434
23	406	13150
24	415	12881
25	424	12629
26	434	12427
27	442	12199
28	451	11990
29	458	11778
30	466	11582
31	475	11420
32	484	11252
33	492	11098
34	501	10963
35	510	10835
36	518	10694
37	525	10546
38	534	10433
39	542	10316
40	550	10194
41	558	10087
42	566	9979
43	574	9879
44	583	9795
45	592	9716
46	600	9624
47	608	9529
48	616	9447
49	625	9381
50	634	9319
51	643	9256
52	651	9188
53	659	9112
54	668	9053
55	676	8987
56	685	8933
57	692	8865
58	701	8809
59	709	8755
60	719	8713
61	727	8658
62	735	8607
63	743	8555
64	752	8509
65	760	8459
66	769	8416
67	778	8377
68	786	8335
69	795	8296
70	804	8261
71	813	8221
72	822	8186
73	830	8145
74	838	8110
75	846	8068
76	854	8026
77	863	7989
78	872	7960
79	881	7933
80	890	7901
81	898	7869
82	906	7830
83	915	7805
84	924	7775
85	932	7745
86	940	7708
87	949	7679
88	957	7652
89	967	7629
90	976	7609
91	984	7578
92	993	7549
93	1001	7521
94	1010	7497
95	1018	7468
96	1027	7443
97	1035	7420
98	1044	7394
99	1052	7367
100	1060	7337
101	1067	7305
102	1076	7286
103	1086	7268
104	1094	7245
105	1102	7217
106	1110	7192
107	1119	7171
108	1127	7148
109	1136	7127
110	1145	7107
111	1153	7086
112	1161	7061
113	1169	7040
114	1178	7017
115	1185	6992
116	1194	6971
117	1202	6952
118	1212	6936
119	1219	6912
120	1228	6896
121	1237	6874
122	1245	6856
123	1254	6836
124	1261	6810
125	1269	6792
126	1277	6771
127	1286	6752
128	1294	6733
129	1303	6718
130	1311	6696
131	1318	6673
132	1325	6647
133	1332	6625
134	1340	6605
135	1349	6586
136	1357	6570
137	1366	6555
138	1373	6533
139	1380	6510
140	1388	6489
141	1395	6467
142	1403	6448
143	1411	6430
144	1420	6414
145	1429	6401
146	1436	6380
147	1444	6362
148	1452	6347
149	1459	6323
150	1467	6307
151	1476	6294
152	1485	6280
153	1494	6270
154	1502	6254
155	1512	6244
156	1519	6224
157	1528	6209
158	1535	6189
159	1544	6176
160	1551	6158
161	1559	6140
162	1565	6119
163	1573	6101
164	1580	6083
165	1587	6064
166	1595	6047
167	1602	6030
168	1610	6014
169	1618	5998
170	1626	5983
171	1634	5966
172	1641	5949
173	1649	5933
174	1657	5918
175	1664	5903
176	1672	5887
177	1681	5875
178	1687	5855
179	1696	5842
180	1704	5828
181	1712	5813
182	1720	5799
183	1727	5783
184	1735	5769
185	1743	5755
186	1751	5741
187	1759	5726
188	1767	5713
189	1774	5697
190	1781	5681
191	1788	5664
