iter	Passed	Remaining
0	8	7118
1	17	7049
2	26	6938
3	34	6810
4	42	6713
5	50	6740
6	58	6655
7	66	6607
8	74	6571
9	82	6553
10	90	6525
11	99	6513
12	107	6481
13	115	6463
14	123	6468
15	131	6444
16	139	6431
17	147	6399
18	155	6410
19	164	6407
20	172	6398
21	180	6389
22	189	6393
23	198	6402
24	206	6413
25	216	6431
26	224	6416
27	232	6417
28	241	6416
29	249	6405
30	257	6388
31	266	6401
32	275	6401
33	283	6392
34	292	6398
35	302	6410
36	309	6383
37	317	6372
38	325	6357
39	333	6345
40	342	6339
41	350	6325
42	358	6315
43	367	6316
44	376	6322
45	384	6305
46	394	6322
47	405	6345
48	414	6349
49	422	6336
50	430	6320
51	439	6314
52	446	6297
53	455	6286
54	463	6273
55	471	6259
56	479	6245
57	487	6232
58	495	6217
59	502	6198
60	509	6176
61	518	6167
62	525	6153
63	535	6153
64	543	6142
65	551	6132
66	558	6114
67	567	6108
68	576	6103
69	583	6085
70	591	6073
71	599	6061
72	607	6052
73	615	6035
74	622	6021
75	630	6006
76	639	6000
77	647	5989
78	655	5979
79	662	5964
80	670	5950
81	677	5935
82	685	5925
83	693	5913
84	701	5904
85	710	5896
86	717	5882
87	725	5868
88	733	5857
89	741	5850
90	749	5839
91	757	5827
92	765	5817
93	773	5809
94	782	5807
95	791	5801
96	799	5796
97	808	5792
98	817	5786
99	825	5778
100	834	5775
101	843	5772
102	852	5769
103	861	5766
104	870	5762
105	879	5756
106	888	5754
107	896	5745
108	905	5739
109	913	5732
110	923	5729
111	931	5723
112	940	5719
113	949	5711
114	957	5705
115	966	5699
116	974	5690
117	984	5688
118	993	5684
119	1002	5683
120	1011	5673
121	1019	5665
122	1027	5657
123	1036	5650
124	1044	5641
125	1052	5630
126	1059	5616
127	1067	5606
128	1076	5598
129	1084	5587
130	1091	5575
131	1099	5563
132	1107	5552
133	1114	5539
134	1122	5529
135	1130	5518
136	1138	5508
137	1146	5498
138	1154	5488
139	1161	5477
140	1170	5468
141	1178	5459
142	1186	5452
143	1194	5441
144	1202	5433
145	1210	5420
146	1217	5409
147	1225	5398
148	1233	5388
149	1241	5378
150	1249	5368
151	1257	5359
152	1265	5351
153	1273	5341
154	1281	5331
155	1289	5323
156	1297	5315
157	1306	5306
158	1314	5298
159	1322	5290
160	1331	5284
161	1339	5276
162	1348	5269
163	1357	5265
164	1365	5256
165	1375	5253
166	1384	5246
167	1392	5240
168	1401	5234
169	1411	5229
170	1418	5218
171	1427	5212
172	1436	5206
173	1444	5197
174	1453	5191
175	1462	5183
176	1471	5179
177	1480	5173
178	1488	5165
179	1497	5157
180	1506	5152
181	1515	5145
182	1523	5137
183	1532	5129
184	1541	5122
185	1550	5118
186	1558	5110
187	1567	5103
188	1576	5096
189	1585	5089
190	1593	5081
191	1601	5071
192	1609	5063
193	1617	5051
194	1625	5042
195	1633	5033
196	1641	5024
197	1649	5015
198	1657	5006
199	1665	4996
200	1673	4985
201	1680	4976
202	1688	4966
203	1696	4956
204	1703	4945
205	1712	4936
206	1719	4927
207	1728	4919
208	1736	4911
209	1745	4904
210	1753	4894
211	1761	4885
212	1769	4876
213	1777	4866
214	1785	4857
215	1793	4848
216	1800	4837
217	1808	4827
218	1816	4818
219	1824	4809
220	1832	4800
221	1840	4791
222	1848	4783
223	1856	4774
224	1865	4766
225	1873	4757
226	1881	4749
227	1889	4740
228	1898	4732
229	1906	4724
230	1915	4718
231	1924	4711
232	1932	4702
233	1940	4694
234	1949	4686
235	1957	4677
236	1966	4670
237	1974	4662
238	1983	4655
239	1991	4647
240	2000	4639
241	2008	4631
242	2016	4622
243	2024	4613
244	2032	4604
245	2039	4593
246	2047	4585
247	2055	4575
248	2063	4565
249	2070	4555
250	2078	4545
251	2086	4536
252	2093	4527
253	2101	4518
254	2110	4510
255	2118	4501
256	2125	4491
257	2134	4483
258	2141	4473
259	2148	4463
260	2156	4453
261	2164	4443
262	2172	4435
263	2180	4426
264	2188	4417
265	2196	4408
266	2204	4400
267	2212	4392
268	2220	4383
269	2228	4374
270	2236	4365
271	2244	4356
272	2252	4347
273	2260	4339
274	2268	4330
275	2277	4323
276	2285	4315
277	2294	4307
278	2302	4300
279	2311	4293
280	2320	4285
281	2329	4278
282	2337	4271
283	2346	4263
284	2355	4256
285	2364	4248
286	2373	4242
287	2381	4233
288	2389	4225
289	2398	4218
290	2407	4210
291	2415	4202
292	2424	4194
293	2433	4187
294	2441	4179
295	2448	4169
296	2456	4160
297	2465	4152
298	2473	4144
299	2481	4136
300	2490	4128
301	2498	4120
302	2507	4112
303	2516	4105
304	2524	4097
305	2533	4089
306	2541	4080
307	2550	4073
308	2558	4065
309	2567	4057
